,xcoord_x,ycoord_x,xcoord_y,ycoord_y
77,1017705.685,258865.7028,1026452.6170000001,254265.4787
78,1004100.553,220388.74300000002,1026452.6170000001,254265.4787
79,1023546.12,244523.6048,1026452.6170000001,254265.4787
80,1030844.6059999999,248698.6851,1026452.6170000001,254265.4787
81,1024530.253,250593.753,1026452.6170000001,254265.4787
82,998832.3809,179279.2194,1026452.6170000001,254265.4787
83,1022128.7690000001,203864.0367,1026452.6170000001,254265.4787
84,1031135.253,192362.217,1026452.6170000001,254265.4787
85,1009963.3809999999,267014.1903,1026452.6170000001,254265.4787
86,1049933.636,191188.3373,1026452.6170000001,254265.4787
87,1033089.224,239282.7963,1026452.6170000001,254265.4787
88,1020315.9029999999,240931.2162,1026452.6170000001,254265.4787
89,1023060.2059999999,237109.8891,1026452.6170000001,254265.4787
90,1034328.3,185669.0323,1026452.6170000001,254265.4787
91,995729.6303,195734.9381,1026452.6170000001,254265.4787
92,1008953.1290000001,260773.7151,1026452.6170000001,254265.4787
93,1005124.9820000001,208048.8271,1026452.6170000001,254265.4787
94,993906.1723,214975.3669,1026452.6170000001,254265.4787
95,992437.2937,212493.5514,1026452.6170000001,254265.4787
96,1007494.9920000001,249885.0216,1026452.6170000001,254265.4787
97,996155.3868,223613.7536,1026452.6170000001,254265.4787
98,990167.4983,224895.8722,1026452.6170000001,254265.4787
99,1016879.8690000001,265226.4386,1026452.6170000001,254265.4787
100,1025564.828,247818.5882,1026452.6170000001,254265.4787
101,1002830.588,251552.2287,1026452.6170000001,254265.4787
102,1000464.311,245939.8807,1026452.6170000001,254265.4787
103,1005169.123,241308.7571,1026452.6170000001,254265.4787
104,1019590.3759999999,243211.9788,1026452.6170000001,254265.4787
105,1026135.801,242470.4351,1026452.6170000001,254265.4787
106,1035297.1579999999,226490.6268,1026452.6170000001,254265.4787
107,1023253.9609999999,260702.7142,1026452.6170000001,254265.4787
108,995365.8781,198271.7997,1026452.6170000001,254265.4787
109,1025106.2309999999,266453.4146,1026452.6170000001,254265.4787
110,1010211.9770000001,210434.8919,1026452.6170000001,254265.4787
111,997817.9197,223005.9884,1026452.6170000001,254265.4787
112,1026452.6170000001,254265.4787,1006496.679,216719.2182
113,1006496.679,216719.2182,1006496.679,216719.2182
114,1043002.677,212969.849,1006496.679,216719.2182
115,975952.0351,166921.5504,1006496.679,216719.2182
116,1047016.7840000001,217243.7605,1006496.679,216719.2182
117,998142.2061,191215.0684,1006496.679,216719.2182
118,1060002.75,207352.3525,1006496.679,216719.2182
119,1015821.8609999999,251810.3035,1006496.679,216719.2182
120,988101.2213,189071.5791,1006496.679,216719.2182
121,1037276.45,198588.1804,1006496.679,216719.2182
122,995023.095,150924.2769,1006496.679,216719.2182
123,1021618.218,254085.6841,1006496.679,216719.2182
124,985567.1394,192774.4924,1006496.679,216719.2182
125,1007067.378,194506.2646,1006496.679,216719.2182
126,1005813.838,192491.0725,1006496.679,216719.2182
127,1057581.886,192354.3753,1006496.679,216719.2182
128,1012077.3879999999,171746.2521,1006496.679,216719.2182
129,997734.6452,232321.2905,1006496.679,216719.2182
130,1000643.632,237395.8715,1006496.679,216719.2182
131,993789.0097,224356.2122,1006496.679,216719.2182
132,994687.7989,189923.6799,1006496.679,216719.2182
